id,name,symbol,store,read,back,other,space,;,single_quote,double_quote,:,=,<,>,_,-,|,letter,digit
0,normal,,,,,3,0,1,30,40,10,3,20,3,3,3,50,3,3
1,stop,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,skip,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,error,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,advance,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,::= (1),,,Yes,,3,3,3,3,3,11,3,3,3,3,3,3,3,3
11,::= (2),,,Yes,,3,3,3,3,3,3,13,3,3,3,3,3,3,3
13,::= (3),expand,Yes,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,term_start,,,,,3,3,3,3,3,3,3,3,3,3,3,3,21,3
21,term,,,Yes,,3,3,3,3,3,3,3,3,22,21,21,3,21,21
22,term_end,term,Yes,,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,single_quot_literal_start,,,,,31,31,31,32,31,31,31,31,31,31,31,31,31,31
31,single_quot_literal,,,Yes,,31,31,31,32,31,31,31,31,31,31,31,31,31,31
32,single_quot_literal_end,literal,Yes,,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,double_quot_literal_start,,,,,41,41,41,41,41,41,41,41,41,41,41,41,41,41
41,double_quot_literal,,,Yes,,41,41,41,41,42,41,41,41,41,41,41,41,41,41
42,double_quot_literal_end,literal,Yes,,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,separator,separator,Yes,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
